,region,abb,fips.numeric,fips.character,D,I,R,sum,Dem,Rep,Polarity
1,alaska,AK,2,2,NA,NA,NA,NA,NA,NA,NA
7,connecticut,CT,9,9,5,0,0,5,100,0,0 - 20
9,delaware,DE,10,10,3,0,0,3,100,0,0 - 20
12,hawaii,HI,15,15,1,0,0,1,100,0,0 - 20
20,massachusetts,MA,25,25,6,0,0,6,100,0,0 - 20
24,minnesota,MN,27,27,5,0,0,5,100,0,0 - 20
31,new hampshire,NH,33,33,1,0,0,1,100,0,0 - 20
32,new jersey,NJ,34,34,5,0,0,5,100,0,0 - 20
40,rhode island,RI,44,44,2,0,0,2,100,0,0 - 20
47,vermont,VT,50,50,0,1,0,1,100,0,0 - 20
48,washington,WA,53,53,9,0,1,10,90,10,0 - 20
21,maryland,MD,24,24,6,0,1,7,85.71428571,14.28571429,0 - 20
38,oregon,OR,41,41,4,0,1,5,80,20,0 - 20
34,nevada,NV,32,32,3,0,1,4,75,25,20 - 35
5,california,CA,6,6,25,0,9,34,73.52941176,26.47058824,20 - 35
33,new mexico,NM,35,35,2,0,1,3,66.66666667,33.33333333,20 - 35
35,new york,NY,36,36,12,0,6,18,66.66666667,33.33333333,20 - 35
15,illinois,IL,17,17,7,0,5,12,58.33333333,41.66666667,35 - 50
36,ohio,OH,39,39,4,0,3,7,57.14285714,42.85714286,35 - 50
10,florida,FL,12,12,7,0,7,14,50,50,50
14,idaho,ID,16,16,1,0,1,2,50,50,50
22,maine,ME,23,23,1,0,1,2,50,50,50
27,montana,MT,30,30,1,0,1,2,50,50,50
8,district of columbia,DC,11,11,50,0,54,104,48.07692308,51.92307692,50 - 65
6,colorado,CO,8,8,4,0,5,9,44.44444444,55.55555556,50 - 65
39,pennsylvania,PA,42,42,6,0,8,14,42.85714286,57.14285714,50 - 65
11,georgia,GA,13,13,2,0,3,5,40,60,50 - 65
46,virginia,VA,51,51,4,0,6,10,40,60,50 - 65
49,wisconsin,WI,55,55,2,0,3,5,40,60,50 - 65
25,missouri,MO,29,29,2,0,4,6,33.33333333,66.66666667,65 - 80
29,north dakota,ND,38,38,1,0,2,3,33.33333333,66.66666667,65 - 80
50,west virginia,WV,54,54,1,0,2,3,33.33333333,66.66666667,65 - 80
44,texas,TX,48,48,8,0,18,26,30.76923077,69.23076923,65 - 80
4,arizona,AZ,4,4,2,0,6,8,25,75,65 - 80
23,michigan,MI,26,26,2,0,6,8,25,75,65 - 80
26,mississippi,MS,28,28,1,0,3,4,25,75,65 - 80
13,iowa,IA,19,19,1,0,4,5,20,80,80 - 100
18,kentucky,KY,21,21,1,0,5,6,16.66666667,83.33333333,80 - 100
16,indiana,IN,18,18,1,0,6,7,14.28571429,85.71428571,80 - 100
2,alabama,AL,1,1,1,0,7,8,12.5,87.5,80 - 100
43,tennessee,TN,47,47,1,0,7,8,12.5,87.5,80 - 100
3,arkansas,AR,5,5,0,0,3,3,0,100,80 - 100
17,kansas,KS,20,20,0,0,5,5,0,100,80 - 100
19,louisiana,LA,22,22,0,0,3,3,0,100,80 - 100
28,north carolina,NC,37,37,0,0,8,8,0,100,80 - 100
30,nebraska,NE,31,31,0,0,3,3,0,100,80 - 100
37,oklahoma,OK,40,40,0,0,4,4,0,100,80 - 100
41,south carolina,SC,45,45,0,0,4,4,0,100,80 - 100
42,south dakota,SD,46,46,0,0,2,2,0,100,80 - 100
45,utah,UT,49,49,0,0,4,4,0,100,80 - 100
51,wyoming,WY,56,56,0,0,1,1,0,100,80 - 100
